epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.3264,1.29321,1.91862,1.39028,0.93799,0.96721,0.98686,0.64344,1.19497,0.70529,1.32978,0.000328767,0.000328767,0.000328767
2,191.468,1.22221,0.79419,1.29011,0.9559,0.97498,0.98794,0.63642,1.17884,0.62291,1.30689,0.000648991,0.000648991,0.000648991
3,292.139,1.2315,0.71821,1.28002,0.95558,0.94392,0.98651,0.53797,1.49528,1.15051,1.67225,0.000956015,0.000956015,0.000956015
4,388.798,1.19451,0.68355,1.25271,0.94527,0.9629,0.97815,0.46787,1.82121,0.9276,1.71845,0.0009406,0.0009406,0.0009406
5,483.262,1.18302,0.66112,1.23789,0.65678,0.84469,0.76711,0.26513,1.79045,2.33507,1.75891,0.0009208,0.0009208,0.0009208
6,584.825,1.13747,0.63113,1.2275,0.96092,0.9931,0.99218,0.69757,1.10769,0.67026,1.2077,0.000901,0.000901,0.000901
7,668.523,1.11098,0.60135,1.20497,0.98028,0.98706,0.99439,0.70877,1.02602,0.54235,1.17314,0.0008812,0.0008812,0.0008812
8,740.82,1.073,0.56614,1.1804,0.99258,1,0.99498,0.73071,0.98402,0.45295,1.12812,0.0008614,0.0008614,0.0008614
9,812.915,1.08676,0.57367,1.17965,0.99828,0.99956,0.995,0.72207,0.98665,0.42623,1.12009,0.0008416,0.0008416,0.0008416
10,888.398,1.02809,0.54053,1.15012,0.99969,1,0.995,0.76527,0.87552,0.40622,1.08702,0.0008218,0.0008218,0.0008218
11,962.47,1.00595,0.52136,1.14713,0.99711,0.99914,0.99466,0.74527,0.92259,0.41808,1.09007,0.000802,0.000802,0.000802
12,1028.97,1.0112,0.51598,1.14283,0.99727,1,0.99498,0.7715,0.84251,0.38794,1.07357,0.0007822,0.0007822,0.0007822
13,1090.55,0.97368,0.50479,1.12723,0.99815,0.99914,0.995,0.71251,1.00306,0.42377,1.16283,0.0007624,0.0007624,0.0007624
14,1151.49,0.94322,0.48989,1.10398,0.98795,0.99914,0.99465,0.67068,1.10468,0.44155,1.21219,0.0007426,0.0007426,0.0007426
15,1213.69,0.94239,0.47814,1.09415,0.99661,0.99569,0.995,0.76865,0.93484,0.40393,1.12069,0.0007228,0.0007228,0.0007228
16,1276.05,0.916,0.47928,1.08311,0.99792,1,0.995,0.78806,0.85229,0.36895,1.05919,0.000703,0.000703,0.000703
17,1338.77,0.92761,0.47049,1.0831,0.99876,1,0.99495,0.78279,0.8465,0.36366,1.04305,0.0006832,0.0006832,0.0006832
18,1403.22,0.90546,0.45138,1.08302,0.99484,0.99769,0.99497,0.78104,0.85855,0.35589,1.07049,0.0006634,0.0006634,0.0006634
19,1468.04,0.86922,0.44432,1.06851,0.99993,1,0.995,0.83247,0.72153,0.32934,0.99439,0.0006436,0.0006436,0.0006436
20,1532.45,0.84417,0.42859,1.04678,0.99816,1,0.99495,0.77603,0.82122,0.35461,1.05596,0.0006238,0.0006238,0.0006238
21,1603.57,0.84297,0.42843,1.05428,0.99908,1,0.995,0.83082,0.70172,0.3092,0.9742,0.000604,0.000604,0.000604
22,1678.08,0.82696,0.41949,1.04499,0.99994,1,0.995,0.82684,0.73565,0.31178,1.00284,0.0005842,0.0005842,0.0005842
23,1751.89,0.80146,0.4067,1.02258,0.99718,1,0.995,0.78184,0.87901,0.35251,1.06093,0.0005644,0.0005644,0.0005644
24,1828.92,0.81747,0.40869,1.03391,0.9995,1,0.995,0.83885,0.72741,0.30846,0.98775,0.0005446,0.0005446,0.0005446
25,1908.36,0.78003,0.39177,1.01831,0.99991,1,0.995,0.86495,0.64562,0.28073,0.96696,0.0005248,0.0005248,0.0005248
26,1986.45,0.74676,0.38316,0.99942,0.99991,1,0.995,0.86545,0.64314,0.28283,0.95407,0.000505,0.000505,0.000505
27,2062.72,0.76903,0.39409,1.01251,0.99992,1,0.995,0.84528,0.69035,0.29875,0.98205,0.0004852,0.0004852,0.0004852
28,2145.69,0.74509,0.38222,0.99443,0.99988,1,0.995,0.87791,0.6157,0.27015,0.94619,0.0004654,0.0004654,0.0004654
